Pluies-Débits Hammam Bougrara;
Série 01/1997 -> 12/2016;
T;Q
12/1/1992;0.013377068
1/1/1993;0.014708119
2/1/1993;0.016885339
3/1/1993;0.019385815
4/1/1993;0.010952653
5/1/1993;0.038001521
6/1/1993;0.005143563
7/1/1993;0.001568739
8/1/1993;0.004382963
9/1/1993;0.011104773
10/1/1993;0.009650124
11/1/1993;0.017712493
12/1/1993;0.01115231
1/1/1994;0.038400837
2/1/1994;0.075337517
3/1/1994;0.062283704
4/1/1994;0.03880966
5/1/1994;0.037421563
6/1/1994;0.02845598
7/1/1994;0.007415859
8/1/1994;0.015116942
9/1/1994;0.026687583
10/1/1994;0.05041833
11/1/1994;0.042916904
12/1/1994;0.049372504
1/1/1995;0.05424035
2/1/1995;0.048478798
3/1/1995;1
4/1/1995;0.086946187
5/1/1995;0.074985739
6/1/1995;0.078104202
7/1/1995;0.070336566
8/1/1995;0.078322875
9/1/1995;0.081821639
10/1/1995;0.11512645
11/1/1995;0.047727705
12/1/1995;0.054611143
1/1/1996;0.103337136
2/1/1996;0.061998479
3/1/1996;0.180661723
4/1/1996;0.055276669
5/1/1996;0.078370413
6/1/1996;0.08705077
7/1/1996;0.045160677
8/1/1996;0.027524244
9/1/1996;0.130148317
10/1/1996;0.038210686
11/1/1996;0.030965963
12/1/1996;0.042688724
1/1/1997;0.051644799
2/1/1997;0.042451036
3/1/1997;0.041500285
4/1/1997;0.00908918
5/1/1997;0.04167142
6/1/1997;0.08682259
7/1/1997;0.094837422
8/1/1997;0.104810801
9/1/1997;0.052462445
10/1/1997;0.011485073
11/1/1997;0.012160106
12/1/1997;0.027971097
1/1/1998;0.016210306
2/1/1998;0.016343411
3/1/1998;0.011656208
4/1/1998;0.011656208
5/1/1998;0.014831717
6/1/1998;0.008043354
7/1/1998;0.006198897
8/1/1998;0.006389047
9/1/1998;0.009241301
10/1/1998;0.001606769
11/1/1998;0.003156494
12/1/1998;0.009355391
1/1/1999;0.016742727
2/1/1999;0.014536984
3/1/1999;0.077676364
4/1/1999;0.014356342
5/1/1999;0.005999239
6/1/1999;0.002956836
7/1/1999;0.001007796
8/1/1999;0.003375166
9/1/1999;0.070926032
10/1/1999;0.024434303
11/1/1999;0.008128922
12/1/1999;0.018596691
1/1/2000;0.020127401
2/1/2000;0.0040502
3/1/2000;0.004706218
4/1/2000;0.005999239
5/1/2000;0.003612854
6/1/2000;0.002348355
7/1/2000;0.002538505
8/1/2000;0.002338848
9/1/2000;0.026630538
10/1/2000;0.230937441
11/1/2000;0.04117703
12/1/2000;0.016818787
1/1/2001;0.13002472
2/1/2001;0.068301959
3/1/2001;0.057976802
4/1/2001;0.007016543
5/1/2001;0.007539456
6/1/2001;0.000741586
7/1/2001;0.003993155
8/1/2001;0.005371744
9/1/2001;0.033067123
10/1/2001;0.124244153
11/1/2001;0.053470241
12/1/2001;0.010372694
1/1/2002;0.002148697
2/1/2002;0.002747671
3/1/2002;0.007045066
4/1/2002;0.030015212
5/1/2002;0.014793687
6/1/2002;0
7/1/2002;0
8/1/2002;0.018786842
9/1/2002;0.004249857
10/1/2002;0.06275908
11/1/2002;0.028950371
12/1/2002;0.01718958
1/1/2003;0.064727134
2/1/2003;0.058423655
3/1/2003;0.023141282
4/1/2003;0.016609622
5/1/2003;0.027020346
6/1/2003;0.014983837
7/1/2003;0.027343601
8/1/2003;0.017313177
9/1/2003;0.016505039
10/1/2003;0.016837802
11/1/2003;0.018853394
12/1/2003;0.041804526
1/1/2004;0.016942384
2/1/2004;0.013757368
3/1/2004;0.231431831
4/1/2004;0.042384484
5/1/2004;0.02868416
6/1/2004;0.011447043
7/1/2004;0.012559422
8/1/2004;0.008566267
9/1/2004;0.00634151
10/1/2004;0.009459973
11/1/2004;0.019623503
12/1/2004;0.01268302
1/1/2005;0.012854155
2/1/2005;0.019452367
3/1/2005;0.025137859
4/1/2005;0.010401217
5/1/2005;0.008547252
6/1/2005;0.007615516
7/1/2005;0.005818597
8/1/2005;0.008357102
9/1/2005;0.106921468
10/1/2005;0.011960449
11/1/2005;0.015373645
12/1/2005;0.012302719
1/1/2006;0.020098878
2/1/2006;0.016333904
3/1/2006;0.015269063
4/1/2006;0.009602586
5/1/2006;0.075527667
6/1/2006;0.010553337
7/1/2006;0.061218863
8/1/2006;0.007197186
9/1/2006;0.082211447
10/1/2006;0.017398745
11/1/2006;0.020412626
12/1/2006;0.013053813
1/1/2007;0.011513596
2/1/2007;0.011551626
3/1/2007;0.014137669
4/1/2007;0.091652405
5/1/2007;0.021553527
6/1/2007;0.00630348
7/1/2007;0.007377828
8/1/2007;0.008090892
9/1/2007;0.06913862
10/1/2007;0.014632059
11/1/2007;0.017161057
12/1/2007;0.010981175
1/1/2008;0.009678646
2/1/2008;0.009716676
3/1/2008;0.011884389
4/1/2008;0.077077391
5/1/2008;0.018121316
6/1/2008;0.005305191
7/1/2008;0.006208405
8/1/2008;0.006807378
9/1/2008;0.032449135
10/1/2008;0.345579007
11/1/2008;0.069842175
12/1/2008;0.153783989
1/1/2009;0.321943335
2/1/2009;0.232258985
3/1/2009;0.105904164
4/1/2009;0.047147747
5/1/2009;0.020469671
6/1/2009;0.01951892
7/1/2009;0.01558281
8/1/2009;0.013595741
9/1/2009;0.122903594
10/1/2009;0.02601255
11/1/2009;0.03051911
12/1/2009;0.01951892
1/1/2010;0.017208595
2/1/2010;0.01726564
3/1/2010;0.021135197
4/1/2010;0.137022248
5/1/2010;0.032220955
6/1/2010;0.009421943
7/1/2010;0.011028713
8/1/2010;0.012093554
9/1/2010;0.014042594
10/1/2010;0.034559802
11/1/2010;0.012207644
12/1/2010;0.014888762
1/1/2011;0.014460924
2/1/2011;0.016505039
3/1/2011;0.018596691
4/1/2011;0.024301198
5/1/2011;0.062046016
6/1/2011;0.027086899
7/1/2011;0.019091082
8/1/2011;0.01944286
9/1/2011;0.008214489
10/1/2011;0.035795779
11/1/2011;0.092203841
12/1/2011;0.025090321
1/1/2012;0.017170565
2/1/2012;0.03032896
3/1/2012;0.01321544
4/1/2012;0.035225328
5/1/2012;0.037640236
6/1/2012;0.023768777
7/1/2012;0.019965773
8/1/2012;0.019775623
1/9/2012;0.038220194
1/10/2012;0.060943145
1/11/2012;0.052956836
1/12/2012;0.048393231
1/1/2013;0.074562944
1/2/2013;0.029640136
1/3/2013;0.030692717
1/4/2013;0.030961907
1/5/2013;0.030318617
1/6/2013;0.007547735
